ID,Prix,Quantite,Remise,CA_Brut,CA_Net,TVA,CA_Total
147,44.83,4,0.0,179.32,179.32,35.86,215.18
148,63.5,13,0.0,825.5,825.5,165.1,990.6
149,199.7,2,20.0,399.4,319.52,63.9,383.42
150,186.99,15,5.0,2804.85,2664.61,532.92,3197.53
151,167.58,10,30.0,1675.8,1173.06,234.61,1407.67
152,135.23,15,0.0,2028.45,2028.45,405.69,2434.14
153,178.49,3,25.0,535.47,401.6,80.32,481.92
154,71.86,14,15.0,1006.04,855.13,171.03,1026.16
155,182.09,0,5.0,0.0,0.0,0.0,0.0
156,119.95,3,5.0,359.85,341.86,68.37,410.23
157,91.16,9,0.0,820.44,820.44,164.09,984.53
158,177.21,9,0.0,1594.89,1594.89,318.98,1913.87
159,112.74,1,0.0,112.74,112.74,22.55,135.29
160,45.96,2,20.0,91.92,73.54,14.71,88.25
161,84.24,3,5.0,252.72,240.08,48.02,288.1
162,195.36,15,0.0,2930.4,2930.4,586.08,3516.48
163,69.78,13,5.0,907.14,861.78,172.36,1034.14
164,158.54,119,5.0,18866.26,17922.95,3584.59,21507.54
165,184.1,14,5.0,2577.4,2448.53,489.71,2938.24
166,133.71,5,5.0,668.55,635.12,127.02,762.14
167,104.33,14,0.0,1460.62,1460.62,292.12,1752.74
168,194.23,5,0.0,971.15,971.15,194.23,1165.38
169,72.41,7,20.0,506.87,405.5,81.1,486.6
170,180.4,1,0.0,180.4,180.4,36.08,216.48
171,162.27,12,5.0,1947.24,1849.88,369.98,2219.86
172,18.64,6,30.0,111.84,78.29,15.66,93.95
173,145.35,5,10.0,726.75,654.08,130.82,784.9
174,62.65,7,10.0,438.55,394.69,78.94,473.63
176,45.99,10,15.0,459.9,390.91,78.18,469.09
177,136.75,13,0.0,1777.75,1777.75,355.55,2133.3
178,60.34,10,5.0,603.4,573.23,114.65,687.88
179,48.8,1,0.0,48.8,48.8,9.76,58.56
180,124.2,8,30.0,993.6,695.52,139.1,834.62
181,145.08,7,30.0,1015.56,710.89,142.18,853.07
182,179.07,15,27.0,2686.05,1960.82,392.16,2352.98
183,161.8,8,0.0,1294.4,1294.4,258.88,1553.28
184,170.43,13,20.0,2215.59,1772.47,354.49,2126.96
185,121.11,15,20.0,1816.65,1453.32,290.66,1743.98
186,181.84,3,15.0,545.52,463.69,92.74,556.43
187,151.6,5,20.0,758.0,606.4,121.28,727.68
188,51.65,12,5.0,619.8,588.81,117.76,706.57
189,179.14,2,0.0,358.28,358.28,71.66,429.94
190,17.52,9,0.0,157.68,157.68,31.54,189.22
191,86.93,10,0.0,869.3,869.3,173.86,1043.16
192,154.29,1,5.0,154.29,146.58,29.32,175.9
193,171.42,7,20.0,1199.94,959.95,191.99,1151.94
194,180.07,5,0.0,900.35,900.35,180.07,1080.42
195,135.43,12,15.0,1625.16,1381.39,276.28,1657.67
196,196.24,15,25.0,2943.6,2207.7,441.54,2649.24
197,21.37,14,0.0,299.18,299.18,59.84,359.02
198,68.83,6,10.0,412.98,371.68,74.34,446.02
199,190.48,14,1.0,2666.72,2640.05,528.01,3168.06
